1,Alabama,50645.33
2,Alaska,570640.95
4,Arizona,113594.08
5,Arkansas,52035.48
6,California,155779.22
8,Colorado,103641.89
9,Connecticut,4842.36
10,Delaware,1948.54
11,District of Columbia,61.05
12,Florida,53624.76
13,Georgia,57513.49
15,Hawaii,6422.63
16,Idaho,82643.12
17,Illinois,55518.93
18,Indiana,35826.11
19,Iowa,55857.13
20,Kansas,81758.72
21,Kentucky,39486.34
22,Louisiana,43203.9
23,Maine,30842.92
24,Maryland,9707.24
25,Massachusetts,7800.06
26,Michigan,56538.9
27,Minnesota,79626.74
28,Mississippi,46923.27
29,Missouri,68741.52
30,Montana,145545.8
31,Nebraska,76824.17
32,Nevada,2700551
33,New Hampshire,1316470
34,New Jersey,8791894
35,New Mexico,2059179
36,New York,19378102
37,North Carolina,9535483
38,North Dakota,672591
39,Ohio,11536504
40,Oklahoma,3751351
41,Oregon,3831074
42,Pennsylvania,12702379
44,Rhode Island,1052567
45,South Carolina,4625364
46,South Dakota,814180
47,Tennessee,6346105
48,Texas,25145561
49,Utah,2763885
50,Vermont,625741
51,Virginia,8001024
53,Washington,6724540
54,West Virginia,1852994
55,Wisconsin,5686986
56,Wyoming,563626
